FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,Price
Akasa Air,QP 1409,New Delhi,23:00,Bengaluru,"01:45
+ 1 DAY",02 h 45 m,"5,230"
AirAsia,I5 740,New Delhi,07:50,Bengaluru,10:40,02 h 50 m,"5,235"
AirAsia,I5 1534,New Delhi,22:55,Bengaluru,"01:35
+ 1 DAY",02 h 40 m,"5,235"
IndiGo,6E 2067,New Delhi,03:55,Bengaluru,06:45,02 h 50 m,"5,236"
IndiGo,6E 6612,New Delhi,05:50,Bengaluru,08:35,02 h 45 m,"5,236"
IndiGo,6E 6612,New Delhi,05:50,Bengaluru,08:35,02 h 45 m,"5,236"
IndiGo,6E 6612,New Delhi,05:50,Bengaluru,08:35,02 h 45 m,"5,236"
IndiGo,6E 2403,New Delhi,07:05,Bengaluru,09:50,02 h 45 m,"5,236"
IndiGo,6E 2403,New Delhi,07:05,Bengaluru,09:50,02 h 45 m,"5,236"
IndiGo,6E 308,New Delhi,08:00,Bengaluru,11:00,03 h,"5,236"
IndiGo,6E 2131,New Delhi,21:45,Bengaluru,"00:35
+ 1 DAY",02 h 50 m,"5,236"
IndiGo,6E 6565,New Delhi,22:55,Bengaluru,"01:40
+ 1 DAY",02 h 45 m,"5,236"
Air India,AI 514,New Delhi,03:30,Bengaluru,06:25,02 h 55 m,"5,240"
Air India,AI 803,New Delhi,06:10,Bengaluru,09:00,02 h 50 m,"5,240"
Air India,AI 803,New Delhi,06:10,Bengaluru,09:00,02 h 50 m,"5,240"
Air India,AI 504,New Delhi,21:10,Bengaluru,"00:05
+ 1 DAY",02 h 55 m,"5,240"
SpiceJet,SG 534,New Delhi,21:35,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,"5,297"
SpiceJet,SG 534,New Delhi,21:35,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,"5,297"
SpiceJet,SG 8143,New Delhi,23:55,Bengaluru,"02:40
+ 1 DAY",02 h 45 m,"5,297"
Akasa Air,QP 1350,New Delhi,21:00,Bengaluru,23:35,02 h 35 m,"5,400"
Akasa Air,QP 1350,New Delhi,21:00,Bengaluru,23:35,02 h 35 m,"5,400"
Air India,AI 813,New Delhi,08:00,Bengaluru,10:55,02 h 55 m,"5,503"
IndiGo,6E 2338,New Delhi,20:55,Bengaluru,23:40,02 h 45 m,"5,599"
Vistara,UK 813,New Delhi,17:40,Bengaluru,20:30,02 h 50 m,"6,028"
IndiGo,6E 781,New Delhi,15:30,Bengaluru,18:20,02 h 50 m,"6,216"
IndiGo,6E 2302,New Delhi,20:20,Bengaluru,23:05,02 h 45 m,"6,216"
IndiGo,6E 2302,New Delhi,20:20,Bengaluru,23:05,02 h 45 m,"6,216"
Air India,AI 502,New Delhi,13:40,Bengaluru,16:20,02 h 40 m,"6,343"
Air India,AI 815,New Delhi,15:35,Bengaluru,18:35,03 h,"6,343"
Air India,AI 807,New Delhi,17:00,Bengaluru,20:15,03 h 15 m,"6,343"
Vistara,UK 811,New Delhi,06:15,Bengaluru,09:05,02 h 50 m,"6,448"
Vistara,UK 817,New Delhi,16:05,Bengaluru,18:45,02 h 40 m,"6,448"
Vistara,UK 817,New Delhi,16:05,Bengaluru,18:45,02 h 40 m,"6,448"
IndiGo,6E 6383,New Delhi,11:45,Bengaluru,14:40,02 h 55 m,"7,020"
IndiGo,6E 2514,New Delhi,13:15,Bengaluru,16:10,02 h 55 m,"7,020"
IndiGo,6E 2487,New Delhi,17:15,Bengaluru,20:00,02 h 45 m,"7,020"
IndiGo,6E 6622,New Delhi,18:55,Bengaluru,21:50,02 h 55 m,"7,020"
Air India,AI 512,New Delhi,19:15,Bengaluru,22:35,03 h 20 m,"7,183"
Air India,AI 512,New Delhi,19:15,Bengaluru,22:35,03 h 20 m,"7,183"
IndiGo,6E 5608,New Delhi,09:20,Bengaluru,12:05,02 h 45 m,"7,450"
IndiGo,6E 6797,New Delhi,10:40,Bengaluru,13:35,02 h 55 m,"7,450"
Vistara,UK 819,New Delhi,14:10,Bengaluru,16:45,02 h 35 m,"7,498"
Air India,AI 506,New Delhi,09:40,Bengaluru,12:30,02 h 50 m,"8,233"
Vistara,UK 809,New Delhi,19:50,Bengaluru,22:40,02 h 50 m,"8,495"
Vistara,UK 809,New Delhi,19:50,Bengaluru,22:40,02 h 50 m,"8,495"
Vistara,UK 815,New Delhi,08:00,Bengaluru,10:50,02 h 50 m,"13,021"
Vistara,UK 801,New Delhi,09:10,Bengaluru,11:50,02 h 40 m,"13,021"
Vistara,UK 807,New Delhi,20:40,Bengaluru,23:20,02 h 40 m,"13,021"
Akasa Air,QP 1719,New Delhi,09:00,Mumbai,10:55,01 h 55 m,"4,758"
Akasa Air,QP 1411,New Delhi,10:55,Mumbai,13:05,02 h 10 m,"4,758"
Akasa Air,QP 1128,New Delhi,16:00,Mumbai,18:10,02 h 10 m,"4,758"
IndiGo,6E 2009,New Delhi,01:00,Mumbai,03:00,02 h,"4,780"
IndiGo,6E 2112,New Delhi,05:30,Mumbai,07:35,02 h 05 m,"4,780"
IndiGo,6E 2112,New Delhi,05:30,Mumbai,07:35,02 h 05 m,"4,780"
IndiGo,6E 2112,New Delhi,05:30,Mumbai,07:35,02 h 05 m,"4,780"
IndiGo,6E 5218,New Delhi,06:30,Mumbai,08:50,02 h 20 m,"4,780"
IndiGo,6E 5218,New Delhi,06:30,Mumbai,08:50,02 h 20 m,"4,780"
IndiGo,6E 6814,New Delhi,07:15,Mumbai,09:20,02 h 05 m,"4,780"
IndiGo,6E 2075,New Delhi,08:00,Mumbai,10:15,02 h 15 m,"4,780"
Air India,AI 665,New Delhi,08:00,Mumbai,10:20,02 h 20 m,"4,780"
IndiGo,6E 5112,New Delhi,09:00,Mumbai,10:55,01 h 55 m,"4,780"
IndiGo,6E 2328,New Delhi,10:00,Mumbai,12:15,02 h 15 m,"4,780"
IndiGo,6E 2328,New Delhi,10:00,Mumbai,12:15,02 h 15 m,"4,780"
Air India,AI 865,New Delhi,10:00,Mumbai,12:30,02 h 30 m,"4,780"
IndiGo,6E 824,New Delhi,11:00,Mumbai,13:00,02 h,"4,780"
IndiGo,6E 824,New Delhi,11:00,Mumbai,13:00,02 h,"4,780"
SpiceJet,SG 157,New Delhi,12:10,Mumbai,14:35,02 h 25 m,"4,780"
IndiGo,6E 6092,New Delhi,12:55,Mumbai,15:05,02 h 10 m,"4,780"
IndiGo,6E 6092,New Delhi,12:55,Mumbai,15:05,02 h 10 m,"4,780"
Air India,AI 620,New Delhi,13:30,Mumbai,15:40,02 h 10 m,"4,780"
Air India,AI 863,New Delhi,14:00,Mumbai,16:20,02 h 20 m,"4,780"
IndiGo,6E 2176,New Delhi,14:20,Mumbai,16:30,02 h 10 m,"4,780"
IndiGo,6E 2016,New Delhi,15:45,Mumbai,18:00,02 h 15 m,"4,780"
IndiGo,6E 5197,New Delhi,16:30,Mumbai,18:40,02 h 10 m,"4,780"
IndiGo,6E 5197,New Delhi,16:30,Mumbai,18:40,02 h 10 m,"4,780"
Air India,AI 441,New Delhi,17:15,Mumbai,19:30,02 h 15 m,"4,780"
IndiGo,6E 864,New Delhi,17:30,Mumbai,19:40,02 h 10 m,"4,780"
IndiGo,6E 2017,New Delhi,18:30,Mumbai,20:35,02 h 05 m,"4,780"
SpiceJet,SG 8709,New Delhi,18:55,Mumbai,21:25,02 h 30 m,"4,780"
IndiGo,6E 2084,New Delhi,19:45,Mumbai,22:00,02 h 15 m,"4,780"
IndiGo,6E 2084,New Delhi,19:45,Mumbai,22:00,02 h 15 m,"4,780"
Air India,AI 805,New Delhi,20:00,Mumbai,22:10,02 h 10 m,"4,780"
IndiGo,6E 6424,New Delhi,20:15,Mumbai,22:45,02 h 30 m,"4,780"
IndiGo,6E 6083,New Delhi,21:00,Mumbai,23:05,02 h 05 m,"4,780"
IndiGo,6E 2114,New Delhi,22:00,Mumbai,"00:05
+ 1 DAY",02 h 05 m,"4,780"
Air India,AI 814,New Delhi,22:30,Mumbai,"00:45
+ 1 DAY",02 h 15 m,"4,780"
Air India,AI 814,New Delhi,22:30,Mumbai,"00:45
+ 1 DAY",02 h 15 m,"4,780"
IndiGo,6E 2519,New Delhi,23:15,Mumbai,"01:20
+ 1 DAY",02 h 05 m,"4,780"
Vistara,UK 951,New Delhi,14:20,Mumbai,16:25,02 h 05 m,"4,880"
Vistara,UK 995,New Delhi,10:20,Mumbai,12:35,02 h 15 m,"4,933"
Vistara,UK 963,New Delhi,09:00,Mumbai,11:15,02 h 15 m,"5,038"
Vistara,UK 993,New Delhi,12:50,Mumbai,15:00,02 h 10 m,"5,038"
Vistara,UK 993,New Delhi,12:50,Mumbai,15:00,02 h 10 m,"5,038"
SpiceJet,SG 8192,New Delhi,18:20,Mumbai,20:45,02 h 25 m,"5,042"
Vistara,UK 945,New Delhi,11:40,Mumbai,13:50,02 h 10 m,"5,316"
Air India,AI 605,New Delhi,21:15,Mumbai,23:35,02 h 20 m,"5,316"
Vistara,UK 941,New Delhi,16:55,Mumbai,19:05,02 h 10 m,"5,744"
Vistara,UK 999,New Delhi,21:55,Mumbai,"00:10
+ 1 DAY",02 h 15 m,"5,744"
IndiGo,6E 2284,New Delhi,05:25,Kolkata,07:55,02 h 30 m,"5,408"
Vistara,UK 747,New Delhi,06:15,Kolkata,08:25,02 h 10 m,"5,408"
IndiGo,6E 5219,New Delhi,06:25,Kolkata,08:35,02 h 10 m,"5,408"
IndiGo,6E 6182,New Delhi,15:55,Kolkata,18:10,02 h 15 m,"5,408"
IndiGo,6E 2415,New Delhi,17:45,Kolkata,20:00,02 h 15 m,"5,408"
IndiGo,6E 2415,New Delhi,17:45,Kolkata,20:00,02 h 15 m,"5,408"
IndiGo,6E 2415,New Delhi,17:45,Kolkata,20:00,02 h 15 m,"5,408"
IndiGo,6E 2057,New Delhi,19:00,Kolkata,21:05,02 h 05 m,"5,408"
IndiGo,6E 2057,New Delhi,19:00,Kolkata,21:05,02 h 05 m,"5,408"
SpiceJet,SG 8251,New Delhi,19:30,Kolkata,21:40,02 h 10 m,"5,408"
IndiGo,6E 2517,New Delhi,20:30,Kolkata,22:40,02 h 10 m,"5,408"
IndiGo,6E 6005,New Delhi,22:50,Kolkata,"01:00
+ 1 DAY",02 h 10 m,"5,408"
IndiGo,6E 2603,New Delhi,23:50,Kolkata,"02:05
+ 1 DAY",02 h 15 m,"5,408"
Vistara,UK 737,New Delhi,15:45,Kolkata,18:05,02 h 20 m,"5,440"
Vistara,UK 737,New Delhi,15:45,Kolkata,18:05,02 h 20 m,"5,440"
Air India,AI 767,New Delhi,12:20,Kolkata,14:30,02 h 10 m,"5,492"
Air India,AI 764,New Delhi,17:05,Kolkata,19:15,02 h 10 m,"5,492"
Air India,AI 764,New Delhi,17:05,Kolkata,19:15,02 h 10 m,"5,492"
Air India,AI 762,New Delhi,21:00,Kolkata,23:30,02 h 30 m,"5,492"
IndiGo,6E 2788,New Delhi,02:55,Kolkata,05:10,02 h 15 m,"5,849"
IndiGo,6E 2788,New Delhi,02:55,Kolkata,05:10,02 h 15 m,"5,849"
IndiGo,6E 282,New Delhi,10:10,Kolkata,12:10,02 h,"5,849"
IndiGo,6E 6557,New Delhi,13:00,Kolkata,15:00,02 h,"5,849"
Vistara,UK 707,New Delhi,17:35,Kolkata,19:35,02 h,"5,881"
SpiceJet,SG 8263,New Delhi,07:10,Kolkata,09:30,02 h 20 m,"5,986"
Air India,AI 401,New Delhi,06:55,Kolkata,09:00,02 h 05 m,"6,374"
Air India,AI 401,New Delhi,06:55,Kolkata,09:00,02 h 05 m,"6,374"
Vistara,UK 705,New Delhi,07:40,Kolkata,09:45,02 h 05 m,"8,474"
Vistara,UK 727,New Delhi,20:30,Kolkata,22:20,01 h 50 m,"10,469"
IndiGo,6E 5213,New Delhi,09:00,Kolkata,11:05,02 h 05 m,"15,298"
Akasa Air,QP 1406,New Delhi,12:45,Hyderabad,15:05,02 h 20 m,"4,548"
IndiGo,6E 2461,New Delhi,01:55,Hyderabad,04:10,02 h 15 m,"4,750"
IndiGo,6E 2337,New Delhi,05:40,Hyderabad,07:55,02 h 15 m,"4,750"
IndiGo,6E 6203,New Delhi,06:30,Hyderabad,08:40,02 h 10 m,"4,750"
Air India,AI 560,New Delhi,07:10,Hyderabad,09:20,02 h 10 m,"4,750"
Air India,AI 560,New Delhi,07:10,Hyderabad,09:20,02 h 10 m,"4,750"
Air India,AI 560,New Delhi,07:10,Hyderabad,09:20,02 h 10 m,"4,750"
IndiGo,6E 774,New Delhi,08:10,Hyderabad,10:20,02 h 10 m,"4,750"
IndiGo,6E 774,New Delhi,08:10,Hyderabad,10:20,02 h 10 m,"4,750"
Air India,AI 542,New Delhi,09:30,Hyderabad,12:00,02 h 30 m,"4,750"
IndiGo,6E 2005,New Delhi,10:10,Hyderabad,12:15,02 h 05 m,"4,750"
Air India,AI 522,New Delhi,11:05,Hyderabad,13:25,02 h 20 m,"4,750"
IndiGo,6E 837,New Delhi,13:30,Hyderabad,15:45,02 h 15 m,"4,750"
IndiGo,6E 2187,New Delhi,15:05,Hyderabad,17:20,02 h 15 m,"4,750"
IndiGo,6E 2187,New Delhi,15:05,Hyderabad,17:20,02 h 15 m,"4,750"
Air India,AI 544,New Delhi,17:00,Hyderabad,19:10,02 h 10 m,"4,750"
IndiGo,6E 5312,New Delhi,17:15,Hyderabad,19:25,02 h 10 m,"4,750"
IndiGo,6E 5312,New Delhi,17:15,Hyderabad,19:25,02 h 10 m,"4,750"
IndiGo,6E 2341,New Delhi,18:45,Hyderabad,21:00,02 h 15 m,"4,750"
IndiGo,6E 605,New Delhi,19:45,Hyderabad,22:00,02 h 15 m,"4,750"
IndiGo,6E 605,New Delhi,19:45,Hyderabad,22:00,02 h 15 m,"4,750"
IndiGo,6E 2371,New Delhi,21:25,Hyderabad,23:40,02 h 15 m,"4,750"
Air India,AI 839,New Delhi,21:30,Hyderabad,23:45,02 h 15 m,"4,750"
Vistara,UK 879,New Delhi,17:35,Hyderabad,19:50,02 h 15 m,"4,873"
Vistara,UK 859,New Delhi,10:25,Hyderabad,12:35,02 h 10 m,"4,904"
Vistara,UK 899,New Delhi,14:45,Hyderabad,17:00,02 h 15 m,"4,925"
Vistara,UK 899,New Delhi,14:45,Hyderabad,17:00,02 h 15 m,"4,925"
SpiceJet,SG 8164,New Delhi,23:00,Hyderabad,"01:00
+ 1 DAY",02 h,"4,981"
Vistara,UK 829,New Delhi,07:20,Hyderabad,09:30,02 h 10 m,"5,692"
Vistara,UK 871,New Delhi,20:35,Hyderabad,22:55,02 h 20 m,"6,343"
